path	codec	std_profile	picture_layout	film_grain	bit_depth	chroma	pixel_format	width	height	fps	frames	color_range	color_space	source	level	tier	sha256
clip/ready_set_go_1080p_60fps_av1_main_8bit_420.mp4	av1	main	n/a	false	8	420	yuv420p	1920	1080	60	300	tv	unknown	ReadySetGo_3840x2160_120fps_420_8bit_HEVC_RAW.hevc	4.1	main	de3b3d89c04997d502b9e7c211529a0893f32af72d843bb552ca03267fda280e
clip/ready_set_go_1080p_60fps_h264_high_8bit_420.mp4	h264	high	progressive	n/a	8	420	yuv420p	1920	1080	60	300	unknown	unknown	ReadySetGo_3840x2160_120fps_420_8bit_HEVC_RAW.hevc	4.2	n/a	725351e7586c03b5f371c6fb69140a7622aea1dd1ab9d5a7d7bf9212565aae22
clip/ready_set_go_1080p_60fps_h265_main_8bit_420.mp4	h265	main	n/a	n/a	8	420	yuv420p	1920	1080	60	300	tv	unknown	ReadySetGo_3840x2160_120fps_420_8bit_HEVC_RAW.hevc	4.1	main	6dc3c57694fbf4e344accb4e5931111b4e9379c95070d4ca5e5f55099ddd4b75
clip/ready_set_go_1080p_60fps_vp9_profile0_8bit_420.mp4	vp9	profile0	n/a	n/a	8	420	yuv420p	1920	1080	60	300	tv	unknown	ReadySetGo_3840x2160_120fps_420_8bit_HEVC_RAW.hevc	4.0	n/a	1c7d5f8affe7bbf9fa017f466437219f447f9bfbf3fa3c3918a8f4d078384dfe
clip/ready_set_go_2160p_60fps_av1_main_8bit_420.mp4	av1	main	n/a	false	8	420	yuv420p	3840	2160	60	300	tv	unknown	ReadySetGo_3840x2160_120fps_420_8bit_HEVC_RAW.hevc	5.1	main	200432fd39c78cd25a76ddff2bde081de15575e02d9f5d8a65139355efd30a4b
clip/ready_set_go_2160p_60fps_h264_high_8bit_420.mp4	h264	high	progressive	n/a	8	420	yuv420p	3840	2160	60	300	unknown	unknown	ReadySetGo_3840x2160_120fps_420_8bit_HEVC_RAW.hevc	5.2	n/a	3b9302f7eeddb04dab046c051b30b9cb3ff3d5aaff90f8cf4cdf72b1f6472682
clip/ready_set_go_2160p_60fps_h265_main_8bit_420.mp4	h265	main	n/a	n/a	8	420	yuv420p	3840	2160	60	300	tv	unknown	ReadySetGo_3840x2160_120fps_420_8bit_HEVC_RAW.hevc	5.1	main	04c1793ddf5393efcb002b8b73658e8d662063cbd027a69468dd6da16b93a97f
clip/ready_set_go_2160p_60fps_vp9_profile0_8bit_420.mp4	vp9	profile0	n/a	n/a	8	420	yuv420p	3840	2160	60	300	tv	unknown	ReadySetGo_3840x2160_120fps_420_8bit_HEVC_RAW.hevc	5.0	n/a	2c2b0e34ae208c8fb3dcd88bc3cb6299f465f8a7419ff32c85a3a49dadc08912
clip/shibuya_720p_30fps_av1_main_8bit_420.mp4	av1	main	n/a	false	8	420	yuv420p	1280	720	30	60	tv	bt470bg	shibuya_crossing_1080p30_av1.mp4	3.1	main	dd0097378581c9e2d3cb39efdd88e659eb53bb8bcd05c0237919fcf4b09c2441
clip/shibuya_720p_30fps_h264_baseline_8bit_420.mp4	h264	baseline	progressive	n/a	8	420	yuv420p	1280	720	30	60	tv	bt470bg	shibuya_crossing_1080p30_h264.mp4	3.1	n/a	d388fe195add3b79d2ae57115dc6d63d482257ce5b9229e32b83d9b0a451492b
clip/shibuya_720p_30fps_h264_high_8bit_420.mp4	h264	high	progressive	n/a	8	420	yuv420p	1280	720	30	60	tv	bt470bg	shibuya_crossing_1080p30_h264.mp4	3.1	n/a	4f9d04b3e67540c42d1a8b82b650ee26e5447126c0f1b78e58f38c9f250e9bcc
clip/shibuya_720p_30fps_h264_main_8bit_420.mp4	h264	main	progressive	n/a	8	420	yuv420p	1280	720	30	60	tv	bt470bg	shibuya_crossing_1080p30_h264.mp4	3.1	n/a	9ec623563cc8f29f005e911f8e54e94cee3216fbe7824188d4f939606436a865
clip/shibuya_720p_30fps_h265_main_8bit_420.mp4	h265	main	n/a	n/a	8	420	yuv420p	1280	720	30	60	tv	bt470bg	shibuya_crossing_1080p30_h265.mp4	3.1	main	8bb97852b606cbce71b3c4608b8dc36424e17c63b4466dfcf19746099f1523c2
clip/shibuya_720p_30fps_vp9_profile0_8bit_420.mp4	vp9	profile0	n/a	n/a	8	420	yuv420p	1280	720	30	60	tv	bt470bg	shibuya_crossing_1080p30_vp9.mp4	3.1	n/a	79eb63aa80e3e6481dcad07d1ece79c6be4597be0584018b989a5daa2e4a2bce
